,Tweet,Sentiment
49,@d_believes Hey there. We’re currently seeing a higher demand for our beverages and looking for ways to overcome th… https://t.co/FfBRNFlbaM,1
50,"@lsetliff Hi Lesley, We’re sorry you can’t find Diet Coke, unfortunately, it’s likely to be out of stock at this ti… https://t.co/ChmBdNRyEm",0
51,"@bigdealstars We are sorry for any inconvenience.  Our Coke Submit website is currently down, and we are unable to… https://t.co/vR1StOEfvU",1
52,"@Naza_Salomon We'd like to look into this, Naza. Please send us a direct message with the country where you are loc… https://t.co/Vh2u9toGlR",1
53,"@lisamorrisshow We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on t… https://t.co/VBxnybBj03",1
54,"@lsetliff Hi Lesley. We appreciate your loyalty. To meet extremely high demand for certain products, we’re temporar… https://t.co/SOf45R7Qki",1
55,"@ashleigh_zc We'd like to look into this, Ash. Please send us a direct message with the country where you are locat… https://t.co/VsnBXh3WvW",0
56,"@chrislewis1972 We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on t… https://t.co/QSqGk2hv5E",1
57,"@LeighJC_15 We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on the a… https://t.co/2lQfw2cORO",0
58,"@MMurray706 We’re so sorry for your disappointment, Matt.  The availability of any of our brands depends on overall… https://t.co/01kY8XByWC",1
59,"@irneyes2 Hi Justin. Thanks for being a dedicated flavor fan! For the time being, we are shifting our priorities to… https://t.co/APVCyQ3lYs",0
60,"@KSherrelle Hi Kimberly, We appreciate your loyalty. To meet extremely high demand for certain products, we’re temp… https://t.co/masbpZ9CSb",1
61,@nataliecball Hi Natalie! Yes! We have brought back Coca-Cola Cinnamon for the holiday season in 2020. Please check… https://t.co/F6sz1aaAdj,1
62,"@mavschica Hi Desiree! Due to extraordinary demand, we are temporarily shifting priorities to produce more of our m… https://t.co/n3lqu7Ijah",0
63,"@BuseTanir You've reached our headquarters in Atlanta, Georgia. Please contact our Coca-Cola division in Turkey for… https://t.co/dupvF4CVrQ",0
64,"@BuseTanir We're sorry to hear that. In order to best assist you, please reply with the country that you are contacting us from.",0
65,"@Babushkaboi__ Hi, for assistance please contact: Tel No: +254727093444 or Email: consumercare@coca-cola.com",0
66,"@BehavedKyle While we have offered the Coca-Cola Insider's Club in the past, that program is not being offered at t… https://t.co/JbKvnDZpgi",1
67,@FadzaiSimango Thank you for reaching out to us. Please contact Coca-Cola South Africa at: ccsainfo@coca-cola.com for more assistance.,1
68,"@888maggie888 Hi, Maggie. Deposit laws are set by state and local governments. The Coca-Cola Company is not involve… https://t.co/W6k3nKAvjp",0
69,"@FluffyLilBitch We'd like to help. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #0… https://t.co/RUM8v5xLJo",1
70,"@AndreaPatrina Hi Andrea. We appreciate your loyalty. To meet extremely high demand for certain products, we’re tem… https://t.co/LGZNSIQAc2",1
71,"@chaotik_lord Temporarily, we are shifting our focus to accommodate our beverages with the highest demand. Be on th… https://t.co/Msx0t0GGkk",1
72,"@cusican Hi! We appreciate your flavor fandom. Temporarily, we are shifting our focus to accommodate our beverages… https://t.co/VFUeuNVGA1",1
73,"@JeremyC39436224 Hi Jeremy. We appreciate your loyalty. To meet extremely high demand for certain products, we’re t… https://t.co/RLccJBqyu2",1
74,@Elienesilva89 Oi! Você pode entrar em contato pelo https://t.co/tmC39qUJOs. Obg,0
75,"@jgtwrites Hi Jim. We appreciate your loyalty. To meet extremely high demand for certain products, we’re temporaril… https://t.co/QmqTexiHSL",1
76,"@BrianWitherby Hi Brian. Beyond Coca-Cola Give, we have stopped using PIN Codes as a method of entry for most promo… https://t.co/0h5RmtjaQk",0
77,"@bowwow5587 We're sorry to hear that. Please contact our UK office at gbcic@coca-cola.com or call 0800 22 77 11, Op… https://t.co/hldkCph34W",1
78,"@ZellerRebekka We appreciate your loyalty, Rebekka. To meet extremely high demand for certain products, we’re tempo… https://t.co/Nc4uW1G3Qz",1
79,"@MarkThePeso Thanks for reaching out to us again, Mark. Our deliveries are organized regionally through our local,… https://t.co/rYwRPSm224",0
80,@tlbowers40 Hi Tricia. We appreciate your loyalty to diet Coke and Sprite Zero Sugar. Due to high demand for certai… https://t.co/tcjb5Q3Y1R,1
81,"@Napptural87 Hi. We appreciate your loyalty to our beverages. In order to meet high demand for certain products, we… https://t.co/S391czpFva",0
82,"@MartinKraft22 Hi, Martin. We suggest reaching out to your local office in Argentina. They can be reached at: tel.… https://t.co/Ur5gO0SEqn",0
83,"@MarkThePeso We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on the… https://t.co/v8cCZczv9i",1
84,"@desert_eric So disappointed to hear about this, Eric. We’re committed to offering only the highest quality product… https://t.co/YerNzq3Pwk",1
85,"@dxp7 Our deliveries are organized regionally through our local, independent bottlers. We recommend reaching out to… https://t.co/tzNH3z2rA5",1
86,"@dxp7 Hi! We appreciate your flavor fandom. Temporarily, we are shifting our focus to accommodate our beverages wit… https://t.co/8JUM0adzOC",1
87,"@pepman1965 We appreciate your loyalty. To meet extremely high demand for certain products, we’re temporarily focus… https://t.co/Ovbg2yioMV",1
88,@QuEeNMeRaNdA Hi! Thanks for being a passionate flavor fan. During this unprecedented time we are making every effo… https://t.co/loRhiXHEMx,1
89,@chrisgriff76 Hi Chris. We appreciate your loyalty. Due to high demand for certain products during this unprecedent… https://t.co/8I5msqU2Lg,1
90,@WALLYBECK4 Please know that we are working hard to make sure your favorite brand returns to shelves near you soon.… https://t.co/HgJdjMFTWi,1
91,"@rickmize1 We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on the av… https://t.co/gNi2mafIqm",1
92,@westfieldsue We share your goal of eliminating waste from the ocean and appreciate their efforts to raise awarenes… https://t.co/vM7zOtwK1h,1
93,@mashhou99 Please contact our office for Saudi Arabia directly for assistance via their Twitter account:… https://t.co/UWOS9MiPtx,1
94,"@kaifan82 Hi Kai. The contact information for the U.K. is :
Tel:  (44) 020 8237 3000
Coca-Cola Great Britain Twitte… https://t.co/TROrplsIpN",1
95,"@TaraRichelleS Tara, please send us a DM so that we can further assist you.",1
96,@_JessicaMarline We appreciate your loyalty. Due to high demand for certain products during this unprecedented time… https://t.co/xHcnEMcJ2M,1
97,@CaptMorg81 Hi! Thanks for being a passionate flavor fan. During this unprecedented time we are making every effort… https://t.co/T7YNCrkS8l,1
98,"@_JessicaMarline Hi Jessica, We’re sorry you can’t find Coca-Cola Cherry Zero Sugar. Unfortunately, it’s likely to… https://t.co/yyvSkr89K9",0
99,"@TaraRichelleS Hi Tara. We appreciate your loyalty. To meet extremely high demand for certain products, we’re tempo… https://t.co/NYXMgoX90M",1
100,@kaifan82 Thanks! Please contact our office in the UK at gbcic@coca-cola.com or call 0800 22 77 11  Option 2 M-F 9-… https://t.co/wWfxqMJTXe,1
101,"@kaifan82 Sorry to hear that, Kai. Please DM us with more info on this promotion, so we can better assist you. Thanks for reaching out!",1
102,"@ReignBowFrite Hi! Unfortunately, due to high demand for certain products, we have had to temporarily prioritize ou… https://t.co/edmD9cll6S",1
103,@JSMueller1 Hi. We appreciate your loyalty to caffeine free diet coke. Due to high demand for certain products duri… https://t.co/jWfF4PceQy,1
104,"@Doobydude4201 We'd like to help, @Doobydude4201. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providi… https://t.co/Gnvf4CJ46u",1
105,@mathtypo That message is not from The Coca-Cola Company and our name and trademark are used without permission. We… https://t.co/dGnRcCPAX7,1
106,"@Meredith_Mer85 Hi Meredith. We appreciate your loyalty. To meet extremely high demand for certain products, we’re… https://t.co/7h32GCXkKI",0
107,"@Brandon59492846 Sorry to hear that, Brandon. We’d like to help you.  Please give us a call (800) GET-COKE, Mon-Fri… https://t.co/gfWLhp94nN",0
108,@YellowSongBird3 Hi Mindy. We appreciate your loyalty to our beverages. In order to meet extremely high demand for… https://t.co/7QBadEc5I6,0
109,"@BoiEagen We'd like to help, Brittany. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Referenc… https://t.co/MMTJADI2Ys",1
110,"@mirrorball1313 We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on t… https://t.co/Ea529mHCBz",1
111,"@itsmeMelllll Sorry to hear that, Mel. We’d like to help you.  Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p… https://t.co/dS5JaXcoEu",1
112,"@MrGMovies We appreciate your loyalty. To meet extremely high demand for certain products, we’re temporarily focusi… https://t.co/wXCux3DLaw",1
113,"@ReignBowFrite Hi! We appreciate your flavor fandom. Temporarily, we are shifting our focus to accommodate our beve… https://t.co/iVlbWSABQz",1
114,"@smamoespa Sorry to hear that. We’d like to help you.  Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, pr… https://t.co/HXz7pSls6V",0
115,"@jeterjane We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on the av… https://t.co/XRWvwYKQzs",1
116,"@moonlitenight We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on th… https://t.co/ELuQeGbml3",0
117,@MrBuckley98 We'll be sure to share this with our team! A few years ago we introduced new photodegradable rings tha… https://t.co/I3xVMWwEqA,1
118,"@lulusellers We appreciate your loyalty to caffeine-free Coca-Cola. Due to extraordinary demand, we are temporarily… https://t.co/0DKxnO0EHR",1
119,"@BrianWitherby Hi Brian. Beyond Coca-Cola Give, we have stopped using PIN Codes as a method of entry for most promo… https://t.co/B12GUl2ix8",0
120,"@teaguy2009 We appreciate your loyalty, Jack. To meet extremely high demand for certain products, we’re temporarily… https://t.co/puwjkgKP5q",1
121,"@FredOderaKhris Sorry to hear that, Fred. Please contact our office in your area, and they should be able to assist… https://t.co/ifMpvc7ljl",1
122,"@erinayres4 Hi Erin! Unfortunately due to high demand for certain products, we have had to temporarily prioritize o… https://t.co/6cC2YVEJ2c",0
123,@jburch34 Hi Jeremy. We appreciate your loyalty to Coca-Cola Cherry Zero Sugar. Due to high demand for certain prod… https://t.co/vFL2p6PeTv,1
124,@kkmullins Hi! Thanks for being a passionate flavor fan. During this unprecedented time we are making every effort… https://t.co/X6MLYGHBnK,0
125,"@blalockjessicaa We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on… https://t.co/eAGDveBIRp",1
126,"@ffion_sb We'd like to look into this, please send us a direct message with the country where you are located, so w… https://t.co/t2vL2vHx2C",0
127,"@KrisCassel Hi Kristopher. We appreciate your loyalty. To meet extremely high demand for certain products, we’re te… https://t.co/AiZAsfxYLh",1
128,@becs134 Hi Becca. We appreciate your loyalty to Coca-Cola and Coke Cherry Vanilla. Due to high demand for certain… https://t.co/H7336Rjzor,1
129,"@kimmy1441 We'd like to help, Kimmy. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference… https://t.co/924PMqPrEB",1
130,"@pixelpreaching We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on t… https://t.co/865x5ymByu",0
131,"@dleebarth Hi Dakotah. We appreciate your loyalty. To meet extremely high demand for certain products, we’re tempor… https://t.co/UrwP63j0sL",0
132,"@consumemymind Hi, we'd like to obtain more details. Is this about a particular location? Please send us a DM with more information.",1
133,"@JehovahSCI Hmm, you might be onto something here. Tell us more here: https://t.co/f8GzjLyNX4. Thanks for sharing!",1
134,"@AbbyofCT Each store stocks different flavors, so you should let your store manager know which flavor you're lookin… https://t.co/bhnpJV3eJh",0
135,"@bio_razy Hi, unfortunately we are unable to comment on matters related to our secret formula. We appreciate your i… https://t.co/qqVsykLpW8",1
136,"@KatieNEthan We would like to talk to you about your experience. Please give us a call 1-800-438-2653, Mon-Fri, 9a-… https://t.co/99dl0oPxWA",1
137,@smamoespa We're sorry to hear of this experience. Please contact our local office in England for further assistanc… https://t.co/8g6MMMPlNS,1
138,"@JetForMe We’re sorry you can’t find Coca-Cola Zero Sugar in cans right now. Unfortunately, it’s likely to be out o… https://t.co/mfeaPmcQF5",1
139,"@RandallFore3 We’re sorry you can’t find Mello Yello in cans right now. Unfortunately, it’s likely to be out of sto… https://t.co/vgbqOs9UV0",1
140,"@minniemlb7 We don't have any coupons to send right now, but we'll be sure to let you know on our pages if any become available.",0
141,"@Kitkat123abc200 We'd like to help. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #… https://t.co/llBRm7XLKO",1
142,"@ashnotketch We'd like to help, Ash. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference… https://t.co/Sbk57iZuot",1
143,"@Kenneth19372761 The thirst is real. Sprite Winter Spiced Cranberry is a limited time offer, but it’ll be back next year.",0
144,"@JDMaxell Hi John. Thanks for being a dedicated Cherry fan! For the time being, we are shifting our priorities to o… https://t.co/v78Cm1wyR3",1
145,@TyroneTYoung We'd like to look into this. Please send us a private message with the country where you are located… https://t.co/DxQPDwPQJA,1
146,"@Silent_Crow84 Hi Brandon. We appreciate your loyalty. To meet extremely high demand for certain products, we’re te… https://t.co/ht7ooqCbNr",1
147,"@allysonmcgovern Hi Allyson. We appreciate your loyalty. To meet extremely high demand for certain products, we’re… https://t.co/p6OgiZElib",1
148,"@ABHISEKKUMARSA7 Hi, for assistance please contact: indiahelpline@coca-cola.com",0
149,"@CodyBurntToast Hi, could you please send us a DM with more details? Thank you for reaching out to us.",1
150,"@AsaniSunset Hi, could you please send us a DM with more details?",0
151,"@beckcunningham Hi Becky, Unfortunately due to high demand for certain products, we have had to temporarily priorit… https://t.co/WS3pSNQVYG",1
152,"@laura__karina95 Hi Laura! Unfortunately due to high demand for certain products, we have had to temporarily priori… https://t.co/odOf45T4rA",1
153,"@YaBoiSplatty Hi, could you please give us a call on 0800 22 77 11 (option 2) so we can look into this for you. Thanks.",1
154,@LugNutsHub Hi. We appreciate your loyalty to Mello Yello. Due to high demand for certain products during this unpr… https://t.co/N4V8oJbgMG,1
155,"@emily_barnard11 We'd like to help, Emily Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Refer… https://t.co/HnUSGKpFMa",1
156,"@ABHISEKKUMARSA7 Hi, where are you located? Please send us a DM with the name of the country.",0
157,"@Jonathanlegiit Thanks for thinking of Coca-Cola! We receive sponsorship requests from around the world, so we've s… https://t.co/IneeBZfg5z",0
158,"@keidethc Hey, Cameron! We’d be happy to assist you, just give us a call at (800)GET-COKE, Mon-Fri 9am-7pm EST and… https://t.co/mGA8Aau5B3",0
159,"@tjborden Thanks for reaching out and we'd like to look into this further. If you could, please give us a call (800… https://t.co/wmm0XgZtSy",1
160,"@jimmythegun Hi Jimmy. We appreciate your loyalty. To meet extremely high demand for certain products, we’re tempor… https://t.co/hUBxtokuIk",1
161,"@BrendaPospisil Hi Brenda. We appreciate your loyalty. To meet extremely high demand for certain products, we’re te… https://t.co/r4DWo6M17X",0
162,"@GetOffMyLawn78 Temporarily, we are shifting our focus to accommodate our beverages with the highest demand. Be on… https://t.co/hBY4IN4ZA9",0
163,"@defectiveAimb0t We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on… https://t.co/A0COB37LqY",1
164,@herazu_ Feel free to share our reply with the creator if they did not see it.,0
165,@herazu_ Thanks for being a Coca-Cola fan! We love seeing your photo (we can't use it) We appreciate you sharing the love!,1
166,"@BigsexyEZ For the time being, we are shifting our priorities to our most popular beverages. In the meantime, check… https://t.co/LMV2udCaN4",1
167,"@worryrock182 Sorry to hear that, Cathy.  We'd like to help you. Please give us a call (800) GET-COKE, Mon-Fri, 9a-… https://t.co/xqNNxNyDC0",1
168,@j_cristinas Please contact our local office in Brazil for futher assistance. They can be reached via phone or thei… https://t.co/uDX5zbCbIu,1
169,"@rednutmeg Hi Meg. We appreciate your loyalty. Temporarily, we are shifting our focus to accommodate our beverages… https://t.co/LSM0jglxip",1
170,@AgainstAllGods We appreciate your feedback. Have a great week.,1
171,"@daisyb_xx Hi Daisy,that's a delicious idea! Thanks for sharing.",1
172,@AndiSchuff We appreciate your patience. Have a great week!,1
173,"@AgainstAllGods Hi! Sorry for the inconvenience. Due to the current situation, some of our products may be in limit… https://t.co/Luo3LeZXVs",1
174,@BigsexyEZ Hi! Thanks for being a passionate flavor fan. During this unprecedented time we are making every effort… https://t.co/hSXLmyGAg2,1
175,"@kwdreams24 Hi! Unfortunately due to high demand for certain products, we have had to temporarily prioritize our mo… https://t.co/QN8Bm1Mkxx",1
176,"@_michmash_ Please contact our office in your area, and they should be able to assist you further. Here is their co… https://t.co/q46xR9mGgO",1
177,@Gh0st_Mal0ne Thanks for your interest. Please submit your sponsorship request for review here: https://t.co/CAzRoMm1eT.,1
178,"@BeauteeNatural Great question. We love a good comeback, however, Coke Cinnamon will not be returning this holiday… https://t.co/5F6fmoRn4f",1
179,"@Eunity Thanks for your interest in Cinnamon Coke, Eunity. We're sorry to say that it will not be returning to shelves this holiday season.",0
180,@kookyceek We're sorry for the trouble! Please contact us at 1-800-438-2653 between the hours of 9 AM-7 PM EST Mond… https://t.co/wGXDAl37zU,1
181,@ogzhnmms14 Please contact our Switzerland office at info@coke.ch for assistance with your request. Thanks for reaching out!,1
182,@mahendraanaik We're so sorry for the trouble. Please contact the branch in your area from the contact information… https://t.co/bKoTdQneXW,1
183,"@kylie_lehatto It's still in production. In order to meet extremely high demand, we’re temporarily focusing on the… https://t.co/C4MGUxAd96",0
184,"@VikramV72730845 Hi, please contact our local office in India for further assistance. They can be reached via phone… https://t.co/hU3GMuuXj4",1
185,"@DeOverdenking Sorry to hear that, De.  We'd like to help you. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p… https://t.co/8VhA86mNSc",0
186,@StevenSmoroske Thank you for sharing. We have recommended that our independent bottlers require their employees to… https://t.co/RkFhVDk8xL,0
187,"@LeeLeeHayes65 We appreciate your flavor fandom. Temporarily, we are shifting our focus to accommodate our beverage… https://t.co/6rcNfoWNvD",1
188,"@caitlin_morris Hi Caitlin. We appreciate your loyalty. To meet extremely high demand for certain products, we’re t… https://t.co/p3PKViXfXQ",1
189,@ask4amitkumar Thank you for sharing. Your comments will be shared appropriately.,0
190,@Mattashenden We're sorry for the trouble. Please contact the branch in your area from the contact information belo… https://t.co/SqncmYNy1P,0
191,"@ask4amitkumar Hi, for assistance please contact: indiahelpline@coca-cola.com",0
192,"@AndiSchuff We appreciate your loyalty. To meet extremely high demand for certain products, we’re temporarily focus… https://t.co/BWXQPDlIgh",1
193,"@EddiePoku We'd like to look into this, Opoku. Please send us a direct message with the country where you are locat… https://t.co/DnosqyAwtr",1
194,"@AveryandZachary We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on… https://t.co/qyxOuZ7YMI",0
195,@RFontcuB Thanks for your interest! Our brands are not available for purchase from overseas bottlers. We’ll share y… https://t.co/GFNSt1Usys,1
196,@MsAlix68 Feel free to speak to the managers of the stores you frequently visit to let them know how much you'd lik… https://t.co/Ag9hkGULVi,1
197,@SealySinger With social distancing and new high sanitation standards limiting the number of employees allowed in t… https://t.co/KqcYqQqE3d,1
198,"@SealySinger Hi! Sorry for the inconvenience. Due to the current situation, some of our products may be in limited… https://t.co/hcXXR3zCcl",0
199,@partha77ray You've reached out here at the headquarters here in Atlanta Georgia in the United States. Please conta… https://t.co/lbXonj59PF,0
200,"@MariannaRoberg We appreciate your loyalty. In order to meet extremely high demand, we’re temporarily focusing on t… https://t.co/yzJyeLE8rM",1
201,"@TrillEverything We'd like to help. Please give us a call (800) GET-COKE, Mon-Fri, 9a-7p EST, providing Reference #… https://t.co/WjLrRSpqt9",0
